k	isim	isim10	isim100	eps	l1
1.0	0.512514987092	0.930583333333	0.606132063676	0.941156166885	0.00378598506104
10.3201390399	0.0984753038748	0.0922817460317	0.0845842975807	0.0400494991983	0.000219063593252
19.6402780798	0.0947674234496	0.0743055555556	0.0782131104875	0.038057375896	0.000212462233859
28.9604171198	0.0963128372532	0.0618849206349	0.0770443518523	0.0385702802225	0.000213562651519
38.2805561597	0.0960378580624	0.0895753968254	0.0809308365717	0.0392764323413	0.000212528025301
47.6006951996	0.0948313585314	0.114781746032	0.0839435465633	0.037274956163	0.000209341244666
56.9208342395	0.0941557447046	0.0938452380952	0.0762457167864	0.0373392085094	0.000209331464215
66.2409732794	0.0956993692647	0.104738095238	0.0790039743649	0.0376835943621	0.000210916832523
75.5611123194	0.0953635108502	0.0720119047619	0.0748272785728	0.0382270996006	0.000212122557932
84.8812513593	0.0978092515242	0.10723015873	0.0821159210235	0.0397688222655	0.000217556931164
