k	isim	isim10	eps	l1
1.0	1.0	1.0	0.938419424204	0.0304510134769
5.15789473684	0.508813166812	0.904206349206	0.931072593855	0.0180845233917
9.31578947368	0.428490418374	0.87753968254	0.797083318145	0.0146912788368
13.4736842105	0.377082058866	0.87753968254	0.671475992986	0.0124626836816
17.6315789474	0.348081170168	0.87753968254	0.559084108727	0.0106228066606
21.7894736842	0.333538285373	0.87753968254	0.440117672611	0.00874901690128
25.9473684211	0.310643143977	0.86753968254	0.387304419181	0.00784318390243
30.1052631579	0.283441382837	0.846428571429	0.280136150552	0.00605135301864
34.2631578947	0.242448206081	0.812817460317	0.233398339102	0.00520306589506
38.4210526316	0.220586084234	0.789206349206	0.170289056845	0.00422975985196
42.5789473684	0.24451261884	0.791865079365	0.188008789516	0.00458678899773
46.7368421053	0.191866219667	0.615634920635	0.129124510618	0.00347998878382
50.8947368421	0.19837434212	0.643134920635	0.134716918153	0.00359480823082
55.0526315789	0.179194056122	0.582023809524	0.126004800519	0.00345811146525
59.2105263158	0.135038886971	0.35246031746	0.093402547264	0.00269252569272
63.3684210526	0.149949016836	0.341507936508	0.112057911689	0.00318121053809
67.5263157895	0.146305449032	0.375674603175	0.0924261099059	0.0027868556767
71.6842105263	0.128024860638	0.329563492063	0.0846380766884	0.00268895890533
75.8421052632	0.179253713978	0.552857142857	0.115787269559	0.00325694882206
80.0	0.148433739239	0.499126984127	0.0776874849802	0.00249425684687
