k,isim,isim10,isim100,eps,l1
1,0.5099602117,0.8886964286,0.6017392869,0.9270464867,0.0037337649
10.3201390399,0.0963033769,0.0806666667,0.0787882696,0.0398138766,0.0002184676
19.6402780798,0.0990152544,0.1174087302,0.0839700618,0.0397953785,0.0002175843
28.9604171198,0.09637694,0.0886706349,0.0801108106,0.0388887543,0.0002134496
38.2805561597,0.0966845539,0.0575714286,0.0742464013,0.038505211,0.000213626
47.6006951996,0.0974825085,0.0792103175,0.0785009986,0.0383576666,0.0002140006
56.9208342395,0.0963715629,0.0864484127,0.0771768893,0.0386460245,0.000214754
66.2409732794,0.0965094156,0.0612420635,0.0772914725,0.0381065396,0.0002134998
75.5611123194,0.0965018424,0.0985992063,0.081257247,0.0385661671,0.0002137248
84.8812513593,0.0976807549,0.1077698413,0.0813719902,0.0387297592,0.0002132334
