k	isim	isim10	isim100	eps	l1
1.0	0.509960211668	0.888696428571	0.60173928693	0.927046486727	0.0037337648689
10.3201390399	0.0963033768571	0.0806666666667	0.0787882696245	0.0398138765734	0.000218467618353
19.6402780798	0.0990152543964	0.117408730159	0.0839700618467	0.03979537845	0.000217584320207
28.9604171198	0.0963769399724	0.0886706349206	0.0801108105976	0.0388887543011	0.000213449563795
38.2805561597	0.0966845538778	0.0575714285714	0.0742464012786	0.0385052109683	0.000213626028058
47.6006951996	0.0974825085388	0.0792103174603	0.0785009985639	0.0383576666365	0.000214000600614
56.9208342395	0.0963715628864	0.0864484126984	0.0771768892725	0.0386460244596	0.000214753959776
66.2409732794	0.0965094156271	0.0612420634921	0.0772914725106	0.0381065396468	0.00021349983192
75.5611123194	0.0965018424055	0.0985992063492	0.0812572469634	0.0385661671286	0.000213724790507
84.8812513593	0.0976807548957	0.10776984127	0.0813719902067	0.0387297591813	0.000213233383409
