k	isim	isim10	eps	l1
1.0	0.727388415869	0.707103174603	0.766027259947	0.0149944023253
5.15789473684	0.388681466476	0.398531746032	0.648364935894	0.00818877194301
9.31578947368	0.322113671958	0.340198412698	0.606748719587	0.00683853573615
13.4736842105	0.280416927077	0.340198412698	0.504246676012	0.00570119452286
17.6315789474	0.266950144084	0.440198412698	0.421020089623	0.00494997509367
21.7894736842	0.253686928671	0.340198412698	0.368829410074	0.00444948073892
25.9473684211	0.233256202935	0.373531746032	0.318125344016	0.00393946116011
30.1052631579	0.202203560435	0.440198412698	0.241804027198	0.0031801245634
34.2631578947	0.199032460241	0.488531746032	0.227156889822	0.00302805294104
38.4210526316	0.168497409376	0.352420634921	0.179887693786	0.00254927876107
42.5789473684	0.153187301273	0.27746031746	0.151194668472	0.0022833439892
46.7368421053	0.149969712721	0.370912698413	0.137868688679	0.0021163041534
50.8947368421	0.140148617153	0.337579365079	0.112082167929	0.00183216241847
55.0526315789	0.141777122048	0.370793650794	0.100548532163	0.0017504706019
59.2105263158	0.134439887096	0.320912698413	0.102600229762	0.00174046105919
63.3684210526	0.120582559499	0.237182539683	0.0889599286647	0.00162575530854
67.5263157895	0.130845465742	0.194682539683	0.105738070502	0.0018000324374
71.6842105263	0.141005804959	0.281507936508	0.0935418920495	0.00160853297338
75.8421052632	0.118592213596	0.276111111111	0.0765609662064	0.00144904874312
80.0	0.129413869197	0.244126984127	0.0892357522204	0.00159855699939
