k,isim,isim10,isim100,eps,l1
1,0.5197587942,0.8061944444,0.5197587942,0.9546498022,0.0191753091
10.3201390399,0.3321900488,0.8422420635,0.3321900488,0.8323937861,0.009407804
19.6402780798,0.2702994043,0.6502301587,0.2702994043,0.4633138094,0.0056019384
28.9604171198,0.2329601481,0.569781746,0.2329601481,0.3073933593,0.004003131
38.2805561597,0.1973454783,0.4909880952,0.1973454783,0.2093213221,0.0029925106
47.6006951996,0.140297633,0.3084603175,0.140297633,0.0931751007,0.0017060763
56.9208342395,0.1438041752,0.3896706349,0.1438041752,0.0472709764,0.0011949809
66.2409732794,0.1432677197,0.3625396825,0.1432677197,0.0157288865,0.0007871754
75.5611123194,0.1635651444,0.2990039683,0.1635651444,0.0068439786,0.000612014
84.8812513593,0.161749897,0.3671269841,0.161749897,0.0058286785,0.0005839217
