k	isim	isim10	isim100	eps	l1
1.0	0.519758794229	0.806194444444	0.519758794229	0.954649802211	0.019175309147
10.3201390399	0.332190048776	0.842242063492	0.332190048776	0.832393786062	0.00940780400753
19.6402780798	0.270299404318	0.65023015873	0.270299404318	0.463313809357	0.00560193838376
28.9604171198	0.232960148147	0.569781746032	0.232960148147	0.307393359297	0.00400313100207
38.2805561597	0.197345478312	0.490988095238	0.197345478312	0.209321322082	0.00299251057595
47.6006951996	0.140297632994	0.30846031746	0.140297632994	0.0931751006751	0.0017060763114
56.9208342395	0.143804175169	0.389670634921	0.143804175169	0.0472709764274	0.00119498090927
66.2409732794	0.143267719651	0.36253968254	0.143267719651	0.0157288864871	0.000787175404274
75.5611123194	0.163565144399	0.299003968254	0.163565144399	0.00684397856872	0.000612013973479
84.8812513593	0.161749897001	0.367126984127	0.161749897001	0.00582867851418	0.000583921721912
