volume_e	volume_a	volume_pr	ratio_e	ratio_a	ratio_pr
471.0	468.0	474.0	0.494692144374	0.491452991453	0.430379746835
448.0	473.0	472.0	0.526785714286	0.517970401691	0.427966101695
469.0	471.0	465.0	0.492537313433	0.588110403397	0.436559139785
467.0	471.0	463.0	0.537473233405	0.503184713376	0.421166306695
474.0	473.0	475.0	0.518987341772	0.488372093023	0.456842105263
472.0	475.0	469.0	0.516949152542	0.477894736842	0.432835820896
475.0	470.0	472.0	0.511578947368	0.536170212766	0.427966101695
474.0	468.0	463.0	0.514767932489	0.517094017094	0.429805615551
465.0	472.0	473.0	0.522580645161	0.576271186441	0.454545454545
471.0	474.0	465.0	0.524416135881	0.459915611814	0.397849462366
464.0	464.0	475.0	0.495689655172	0.538793103448	0.393684210526
467.0	461.0	473.0	0.516059957173	0.548806941432	0.420718816068
471.0	469.0	475.0	0.507430997877	0.586353944563	0.444210526316
464.0	448.0	471.0	0.508620689655	0.504464285714	0.409766454352
473.0	467.0	470.0	0.484143763214	0.524625267666	0.446808510638
475.0	472.0	475.0	0.52	0.546610169492	0.452631578947
465.0	469.0	473.0	0.531182795699	0.535181236674	0.446088794926
471.0	472.0	475.0	0.541401273885	0.491525423729	0.406315789474
461.0	471.0	475.0	0.53579175705	0.575371549894	0.461052631579
473.0	459.0	474.0	0.53488372093	0.490196078431	0.417721518987
458.0	467.0	473.0	0.497816593886	0.498929336188	0.395348837209
459.0	470.0	471.0	0.507625272331	0.510638297872	0.426751592357
448.0	465.0	471.0	0.504464285714	0.513978494624	0.426751592357
471.0	465.0	471.0	0.494692144374	0.574193548387	0.447983014862
473.0	470.0	467.0	0.479915433404	0.502127659574	0.447537473233
