volume_e	volume_a	volume_pr	ratio_e	ratio_a	ratio_pr
475.0	471.0	459	0.456842105263	0.511677282378	0.424836601307
453.0	456.0	475	0.532008830022	0.561403508772	0.410526315789
470.0	472.0	437	0.51914893617	0.5	0.441647597254
470.0	474.0	468	0.463829787234	0.497890295359	0.42735042735
474.0	474.0	459	0.413502109705	0.497890295359	0.542483660131
472.0	472.0	465	0.478813559322	0.487288135593	0.449462365591
474.0	466.0	471	0.481012658228	0.497854077253	0.43949044586
471.0	456.0	466	0.443736730361	0.526315789474	0.403433476395
472.0	468.0	465	0.478813559322	0.478632478632	0.449462365591
474.0	468.0	469	0.46835443038	0.495726495726	0.424307036247
473.0	467.0	463	0.517970401691	0.537473233405	0.425485961123
467.0	472.0	474	0.558886509636	0.542372881356	0.489451476793
466.0	475.0	475	0.515021459227	0.574736842105	0.498947368421
475.0	460.0	436	0.507368421053	0.508695652174	0.422018348624
444.0	430.0	469	0.531531531532	0.558139534884	0.441364605544
466.0	461.0	450	0.540772532189	0.540130151844	0.462222222222
473.0	472.0	473	0.509513742072	0.563559322034	0.437632135307
469.0	475.0	452	0.492537313433	0.524210526316	0.46017699115
466.0	473.0	450	0.540772532189	0.471458773784	0.462222222222
455.0	445.0	473	0.520879120879	0.541573033708	0.403805496829
472.0	469.0	472	0.533898305085	0.543710021322	0.398305084746
456.0	471.0	473	0.504385964912	0.511677282378	0.412262156448
470.0	444.0	465	0.489361702128	0.54954954955	0.436559139785
472.0	475.0	472	0.533898305085	0.528421052632	0.398305084746
467.0	470.0	471	0.503211991435	0.544680851064	0.452229299363
