volume_e	volume_a	volume_pr	ratio_e	ratio_a	ratio_pr
457.0	463.0	469.0	0.330415754923	0.520518358531	0.381663113006
465.0	470.0	463.0	0.320430107527	0.540425531915	0.416846652268
462.0	470.0	456.0	0.341991341991	0.523404255319	0.460526315789
463.0	453.0	465.0	0.317494600432	0.549668874172	0.466666666667
451.0	471.0	432.0	0.321507760532	0.503184713376	0.458333333333
466.0	467.0	472.0	0.321888412017	0.498929336188	0.415254237288
465.0	456.0	464.0	0.333333333333	0.469298245614	0.375
464.0	470.0	468.0	0.327586206897	0.493617021277	0.410256410256
468.0	470.0	467.0	0.337606837607	0.56170212766	0.400428265525
463.0	468.0	470.0	0.32181425486	0.491452991453	0.434042553191
467.0	454.0	447.0	0.336188436831	0.511013215859	0.4451901566
465.0	470.0	459.0	0.363440860215	0.485106382979	0.429193899782
445.0	465.0	446.0	0.343820224719	0.531182795699	0.417040358744
457.0	467.0	470.0	0.365426695842	0.498929336188	0.472340425532
467.0	445.0	470.0	0.336188436831	0.523595505618	0.412765957447
464.0	474.0	468.0	0.331896551724	0.481012658228	0.431623931624
472.0	467.0	474.0	0.351694915254	0.494646680942	0.430379746835
463.0	472.0	456.0	0.33909287257	0.504237288136	0.447368421053
460.0	474.0	473.0	0.326086956522	0.514767932489	0.429175475687
426.0	455.0	474.0	0.347417840376	0.525274725275	0.459915611814
439.0	471.0	449.0	0.371298405467	0.507430997877	0.514476614699
470.0	468.0	444.0	0.331914893617	0.517094017094	0.45045045045
472.0	469.0	473.0	0.317796610169	0.505330490405	0.467230443975
471.0	457.0	469.0	0.316348195329	0.549234135667	0.402985074627
448.0	469.0	469.0	0.352678571429	0.53091684435	0.441364605544
